Library,Language,Category
org.emmalanguage:emma-benchmarks,Scala,Data Analysis
org.simplex3d:simplex3d-data-format_2.10,Scala,Data Serialization
org.wvlet.airframe:airframe-tablet_2.13.0-RC2,Scala,Data Serialization
org.gnieh:fs2-data-text_2.13,Scala,Data Serialization
com.fasterxml.jackson.module:jackson-module-scala_2.12,Scala,Data Serialization
tech.orkestra:orkestra-core_sjs0.6_2.12,Scala,IT Automation
com.goyeau:orchestra-cron_2.12,Scala,Scheduling and Concurrency
com.aamend.spark:archetype,Scala,IT Automation
io.kevinlee:sbt-devoops-github-core_2.12_1.0,Scala,IT Automation
de.sciss:dotterweide-ui_2.11,Scala,Graphical User Interface Design
org.scala-lang.modules.scala-swing,Scala,Graphical User Interface Design
io.github.kacperfkorban.guinep-web,Scala,Web Development
io.github.mimoguz.layeredfonticon-core,Scala,Graphical User Interface Design
piecemeal,Dart,Algorithms and Data Structures
collection,Dart,Algorithms and Data Structures
pointycastle,Dart,Security
graphs,Dart,Algorithms and Data Structures
connectivity_plus,Dart,Networking and Messaging
cached_network_image,Dart,File Handling
connectivity,Dart,Networking and Messaging
firebase_messaging,Dart,Networking and Messaging
reflutter,Dart,Web Development
server_universe,Dart,Web Development
create-fullstack-app-cli,Dart,IT Automation
angel_graphql,Dart,Web Development
flutter_local_notifications,Dart,Graphical User Interface Design
cron,Dart,Scheduling and Concurrency
timer_builder,Dart,Scheduling and Concurrency
syncfusion_flutter_calendar,Dart,Graphical User Interface Design
google_sign_in,Dart,Security
mqtt_client,Dart,Networking and Messaging
angel_security,Dart,Security
envied,Dart,Code Analysis and Linting
math_expressions,Dart,Mathematics and Numerics
more,Dart,Algorithms and Data Structures
ml_linalg,Dart,Mathematics and Numerics
fixed,Dart,Algorithms and Data Structures
sqflite,Dart,Database Management
cloud_firestore,Dart,Database Management
postgres,Dart,Database Management
hive,Dart,Database Management
path_provider,Dart,File Handling
image,Dart,Graphical User Interface Design
glob,Dart,File Handling
file,Dart,File Handling
logging,Dart,Logging and Monitoring
logger,Dart,Logging and Monitoring
ansicolor,Dart,Logging and Monitoring
pretty_dio_logger,Dart,Logging and Monitoring
flutter_lints,Dart,Code Analysis and Linting
pedantic_mono,Dart,Code Analysis and Linting
carapacik_lints,Dart,Code Analysis and Linting
velvet_custom_lints,Dart,Code Analysis and Linting
test,Dart,Testing
unittest,Dart,Testing
build_test,Dart,Testing
mocktail,Dart,Testing
grizzly_array,Dart,Algorithms and Data Structures
flutter_insights,Dart,Data Analysis
packhorse,Dart,IT Automation
plugin_mappintelligence,Dart,IT Automation
yaml,Dart,Data Serialization
http_parser,Dart,Web Development
built_value,Dart,Data Serialization
bson,Dart,Data Serialization
unleash,Dart,IT Automation
docrunner,Dart,IT Automation
cobertura,Dart,Code Analysis and Linting
bitwarden_secrets,Dart,Security
magical_widget,Dart,Graphical User Interface Design
flutter_auto_gui,Dart,Graphical User Interface Design
gui_shape,Dart,Graphical User Interface Design
rinf,Dart,Algorithms and Data Structures
collections,Python,Algorithms and Data Structures
heapq,Python,Algorithms and Data Structures
algorithms,Python,Algorithms and Data Structures
sortedcontainers,Python,Algorithms and Data Structures
asyncio,Python,Networking and Messaging
socket,Python,Networking and Messaging
kafka-python,Python,Networking and Messaging
dramatiq,Python,Networking and Messaging
arrow,Python,Scheduling and Concurrency
dateutil,Python,Scheduling and Concurrency
threading-framework,Python,Scheduling and Concurrency
schedule,Python,Scheduling and Concurrency
authlib,Python,Security
pyjwt,Python,Security
django-allauth,Python,Security
cryptography,Python,Security
webassets,Python,Web Development
html2text,Python,Web Development
websockets,Python,Web Development
tornado,Python,Web Development
scipy,Python,Mathematics and Numerics
numpy,Python,Mathematics and Numerics
statsmodel,Python,Mathematics and Numerics
sympy,Python,Mathematics and Numerics
pymysql,Python,Database Management
psycopg,Python,Database Management
pymongo,Python,Database Management
pickledb,Python,Database Management
mimetypes,Python,File Handling
pathlib,Python,File Handling
python-magic,Python,File Handling
wqtchdog,Python,Scheduling and Concurrency
logging,Python,Logging and Monitoring
structlog,Python,Logging and Monitoring
loguru,Python,Logging and Monitoring
psutil,Python,System Administration
flake8,Python,Code Analysis and Linting
pyflakes,Python,Code Analysis and Linting
pycodestyle,Python,Code Analysis and Linting
pylint,Python,Code Analysis and Linting
mamba,Python,Testing
pytest,Python,Testing
unittest,Python,Testing
selenium,Python,Web Development
pandas,Python,Data Analysis
optimus,Python,Data Analysis
schema,Python,Data Analysis
pydantic,Python,Data Serialization
marshmallow,Python,Data Serialization
pysimdjson,Python,Data Serialization
json,Python,Data Serialization
prophy,Python,Data Analysis
ansible,Python,IT Automation
pyinfra,Python,IT Automation
fabric,Python,IT Automation
borg,Python,System Administration
tkinter,Python,Graphical User Interface Design
pyglet,Python,Graphical User Interface Design
pyqt,Python,Graphical User Interface Design
kivy,Python,Graphical User Interface Design
Graph,Perl,Algorithms and Data Structures
MetaMap-DataStructures,Perl,Algorithms and Data Structures
Array-Circular,Perl,Algorithms and Data Structures
Tree-R,Perl,Algorithms and Data Structures
NetAddr-MAC,Perl,Networking and Messaging
Net-OpenSSH,Perl,Networking and Messaging
Parse-IPCommand,Perl,Networking and Messaging
Net-SSH2,Perl,Networking and Messaging
docpad-plugin-scheduling,Perl,Scheduling and Concurrency
Async-Event-Interval,Perl,Scheduling and Concurrency
Schedule-SGELK,Perl,Scheduling and Concurrency
Mojolicious-Plugin-Cron-Scheduler,Perl,Scheduling and Concurrency
DBIx-Class-BcryptColumn,Perl,Security
Crypt-DRBG,Perl,Security
WWW-KeePassRest,Perl,Web Development
Plack-Middleware-SecureHeaders,Perl,Security
Mojolicious,Perl,Web Development
Dancer2,Perl,Web Development
Catalyst,Perl,Web Development
Kossy,Perl,Web Development
SPVM-Math,Perl,Mathematics and Numerics
App-Math-Tutor,Perl,Mathematics and Numerics
Math-RPN-Tiny,Perl,Mathematics and Numerics
Math-Sidef,Perl,Mathematics and Numerics
DBD-mysql,Perl,Database Management
Redis,Perl,Database Management
github.com/percona/percona-toolkit,Perl,Database Management
Database-Abstraction,Perl,Database Management
Path-Tiny,Perl,File Handling
File-Util,Perl,File Handling
PDF-API2,Perl,Data Serialization
IO-All,Perl,File Handling
CPAN-Testers-Schema,Perl,Data Analysis
Log-Report,Perl,Logging and Monitoring
Log-Contextual,Perl,Logging and Monitoring
event-tracer,Perl,Logging and Monitoring
Perl-Lint,Perl,Code Analysis and Linting
Perl-Critic,Perl,Code Analysis and Linting
B-Lint,Perl,Code Analysis and Linting
Perl-Analyzer,Perl,Code Analysis and Linting
Test-Strict,Perl,Testing
Math-BigInt,Perl,Mathematics and Numerics
Test-MockModule,Perl,Testing
Test-Without-Module,Perl,Testing
CLIPSeqTools,Perl,Data Analysis
App-RecordStream,Perl,Data Analysis
Data::Table,Perl,Data Analysis
PDL::Dataframe,Perl,Data Analysis
wxPerl,Perl,Graphical User Interface Design
Perl-Tk,Perl,Graphical User Interface Design
Prima,Perl,Graphical User Interface Design
Perl/KDE,Perl,Graphical User Interface Design
AnyData,Perl,Data Serialization
Data-Format-Pretty-YAML,Perl,Data Serialization
TOML-Tiny,Perl,Data Serialization
CatalystX-Controller-ExtJS-REST-SimpleExcel,Perl,Web Development
Rex,Perl,IT Automation
com.viliussutkus89:SampleLibraryForSonatypePromotionTesting,Perl,IT Automation
Jenkins::API,Perl,IT Automation
Minilla,Perl,IT Automation
@discordjs/collection,TypeScript,Algorithms and Data Structures
js-sdsl,TypeScript,Algorithms and Data Structures
typescript-collections,TypeScript,Algorithms and Data Structures
fast-array-diff,TypeScript,Algorithms and Data Structures
libp2p,TypeScript,Networking and Messaging
@multiformats/multiaddr,TypeScript,Networking and Messaging
@ethersproject/networks,TypeScript,Networking and Messaging
nats,TypeScript,Networking and Messaging
@types/node-schedule,TypeScript,Scheduling and Concurrency
agenda,TypeScript,Scheduling and Concurrency
@nestjs/schedule,TypeScript,Scheduling and Concurrency
@solid-primitives/scheduled,TypeScript,Scheduling and Concurrency
helmet,TypeScript,Security
snyk,TypeScript,Security
express-rate-limit,TypeScript,Web Development
jssha,TypeScript,Security
vite,TypeScript,Web Development
vue-template-compiler,TypeScript,Web Development
@testing-library/user-event,TypeScript,Testing
antd,TypeScript,Graphical User Interface Design
random-js,TypeScript,Mathematics and Numerics
math-expression-evaluator,TypeScript,Mathematics and Numerics
normal-distribution,TypeScript,Mathematics and Numerics
@mathigon/fermat,TypeScript,Mathematics and Numerics
mongodb,TypeScript,Database Management
sequelize,TypeScript,Database Management
firebase,TypeScript,Database Management
typeorm,TypeScript,Database Management
rollup-plugin-dts,TypeScript,Code Analysis and Linting
tsx,TypeScript,Code Analysis and Linting
ts-node-dev,TypeScript,Code Analysis and Linting
serve,TypeScript,Web Development
@oclif/errors,TypeScript,Error Handling
@storybook/addon-console,TypeScript,Graphical User Interface Design
conventional-changelog-writer,TypeScript,IT Automation
git-raw-commits,TypeScript,IT Automation
@codemirror/lint,TypeScript,Code Analysis and Linting
@start/plugin-lib-eslint,TypeScript,Code Analysis and Linting
remark-lint-fenced-code-flag-case,TypeScript,Code Analysis and Linting
tslint-rxjs-subject-restrictions-rule,TypeScript,Code Analysis and Linting
jest,TypeScript,Testing
ts-jest,TypeScript,Testing
babel-jest,TypeScript,Testing
vitest,TypeScript,Testing
data-forge,TypeScript,Data Analysis
vue-component-meta,TypeScript,Graphical User Interface Design
@opticss/element-analysis,TypeScript,Graphical User Interface Design
@antv/l7-scene,TypeScript,Graphical User Interface Design
table,TypeScript,Data Analysis
form-data-encoder,TypeScript,File Handling
ion-js,TypeScript,Web Development
@nsis/language-data,TypeScript,Data Analysis
docker-compose,TypeScript,IT Automation
commitlint-azure-pipelines-cli,TypeScript,IT Automation
azure-devops-node-api,TypeScript,IT Automation
@karmaniverous/get-dotenv,TypeScript,File Handling
happy-dom,TypeScript,Graphical User Interface Design
react-png-tooltip,TypeScript,Graphical User Interface Design
infamous,TypeScript,Graphical User Interface Design
lume,TypeScript,Web Development
github.com/davecgh/go-spew,Go,Algorithms and Data Structures
github.com/google/btree,Go,Algorithms and Data Structures
github.com/lann/ps,Go,Algorithms and Data Structures
github.com/cespare/xxhash/v2,Go,Algorithms and Data Structures
golang.org/x/net,Go,Networking and Messaging
github.com/vishvananda/netns,Go,Networking and Messaging
github.com/nats-io/nats,Go,Networking and Messaging
github.com/jackc/pgproto3/v2,Go,Database Management
k8s.io/kubernetes,Go,IT Automation
github.com/go-co-op/gocron,Go,Scheduling and Concurrency
atomicgo.dev/schedule,Go,Scheduling and Concurrency
github.com/jasonlvhit/gocron,Go,Scheduling and Concurrency
github.com/google/uuid,Go,Algorithms and Data Structures
github.com/golang-jwt/jwt/v4,Go,Security
github.com/microcosm-cc/bluemonday,Go,Security
github.com/99designs/keyring,Go,Security
github.com/gin-gonic/gin,Go,Web Development
github.com/go-redis/cache/v8,Go,Database Management
github.com/gorilla/sessions,Go,Web Development
github.com/labstack/echo/v4,Go,Web Development
gopkg.in/inf.v0,Go,Algorithms and Data Structures
github.com/go-corelibs/maths,Go,Mathematics and Numerics
github.com/go-inf/inf,Go,Algorithms and Data Structures
github.com/pkg/math,Go,Mathematics and Numerics
github.com/go-sql-driver/mysql,Go,Database Management
github.com/lib/pq,Go,Database Management
go.mongodb.org/mongo-driver,Go,Database Management
go.etcd.io/bbolt,Go,Database Management
github.com/pelletier/go-toml/v2,Go,Data Serialization
github.com/joho/godotenv,Go,File Handling
cloud.google.com/go/storage,Go,Database Management
github.com/minio/minio-go/v7,Go,Database Management
github.com/sirupsen/logrus,Go,Logging and Monitoring
go.uber.org/zap,Go,Logging and Monitoring
github.com/go-logr/logr,Go,Logging and Monitoring
go.opentelemetry.io/otel,Go,Logging and Monitoring
golang.org/x/lint,Go,Code Analysis and Linting
github.com/golangci/lint-1,Go,Code Analysis and Linting
github.com/mvdan/lint,Go,Code Analysis and Linting
github.com/golang/lint,Go,Code Analysis and Linting
github.com/stretchr/testify,Go,Testing
github.com/google/go-cmp,Go,Code Analysis and Linting
gopkg.in/check.v1,Go,Testing
github.com/onsi/ginkgo,Go,Testing
github.com/rocketlaunchr/dataframe-go,Go,Data Analysis
github.com/fjukstad/walrus,Go,Algorithms and Data Structures
github.com/hokiegeek/hgtealib,Go,Algorithms and Data Structures
github.com/forchain/bitcoinbigdata,Go,Data Analysis
github.com/google/orderedcode,Go,Code Analysis and Linting
github.com/ipfs/go-block-format,Go,File Handling
github.com/linkedin/goavro/v2,Go,Data Serialization
github.com/minio/sio,Go,File Handling
github.com/power-devops/perfstat,Go,Logging and Monitoring
github.com/gruntwork-io/terratest,Go,Testing
go.mozilla.org/sops/v3,Go,Security
github.com/vladimirvivien/gexe,Go,Algorithms and Data Structures
qtypes,Go,Algorithms and Data Structures
github.com/ctessum/gobra,Go,Algorithms and Data Structures
github.com/yogischogi/ui2go,Go,Graphical User Interface Design
github.com/bhojpur/gui,Go,Graphical User Interface Design
